Dim.Class,Int/Ext,Longitude (°),Latitude (°),start,end,Depth (%wt),Distance (m),Girth Weld No.
Pitting,Ext,26.12955,41.35173,106.5,104.5,11,11.77,50
Pitting,Ext,26.12957,41.35172,177,169,12,11.83,50
General,Ext,26.12979,41.35173,151.5,143.5,12,11.83,50
General,Ext,26.12962,41.35173,218,212,15,11.83,50
Pitting,Ext,26.12965,41.35173,106.5,104.5,9,11.83,50
Pitting,Ext,26.12553,41.35149,342.5,338.5,19,11.84,50
Pitting,Ext,26.12546,41.35149,293,289,6,17.45,60
General,Ext,26.12527,41.35148,144.5,28.5,12,23.89,70
General,Int,26.12538,41.35149,17.5,339.5,8,44.89,90
General,Int,26.12578,41.3515,224.5,178.5,8,44.9,90
Pitting,Ext,26.12624,41.35152,204.5,197.5,15,48.89,90
Pitting,Int,26.1267,41.35155,163,158,21,98.96,140
Pitting,Ext,26.1273,41.35158,275,271,8,256.04,270
Pitting,Ext,26.12707,41.35156,322,319,17,256.06,270
Pitting,Ext,26.12776,41.35159,306,302,13,256.06,270
Pitting,Ext,26.1278,41.3516,286.5,281.5,15,256.1,270
Circumferential Grooving,Ext,26.12751,41.35159,210.5,200.5,15,256.1,270
Circumferential Grooving,Ext,26.12769,41.3516,59.5,19.5,14,256.13,270
General,Ext,26.12814,41.35165,128.5,121.5,11,266.5,280
Pitting,Int,26.12798,41.35163,198.5,195.5,19,301,320
Pitting,Int,26.12825,41.35167,252,249,19,324.04,340
Circumferential Grooving,Ext,26.12822,41.35167,272,243,6,427.48,420
Pitting,Int,26.12815,41.35165,28,23,16,428.6,430
Pitting,Ext,26.12839,41.35168,130,123,13,452.45,440
Circumferential Grooving,Ext,26.12818,41.35166,283,243,7,502.43,480
Pitting,Ext,26.12885,41.35175,116.5,111.5,9,502.69,490
Pitting,Ext,26.12866,41.35172,117.5,110.5,14,514.95,490
Pitting,Ext,26.12905,41.35176,127,123,7,515.22,500
Pitting,Ext,26.12896,41.35175,206,202,9,552.56,520
Pitting,Ext,26.12913,41.35175,113,109,8,590.36,560
General,Ext,26.12936,41.35173,273.5,168.5,16,627.61,580
Circumferential Grooving,Ext,26.12073,41.35093,144.5,117.5,12,627.88,590
General,Int,26.12076,41.35094,301,137,17,640.08,590
Pitting,Ext,26.12086,41.35098,117,113,13,640.33,600
Pitting,Ext,26.12096,41.35102,124.5,117.5,8,690.03,630
General,Ext,26.12101,41.35103,162.5,120.5,10,765.1,690
Pitting,Ext,26.12116,41.35105,26.5,21.5,20,790.1,710
Pitting,Ext,26.12149,41.35108,254.5,251.5,15,938.54,830
Circumferential Grooving,Ext,26.12178,41.35113,264,254,9,975.95,860
Pitting,Ext,26.12185,41.35113,274,269,5,1121.57,980
General,Ext,26.12182,41.35111,285.5,276.5,17,1221.55,1060
General,Ext,26.12176,41.3511,340.5,252.5,13,1371.65,1190
General,Ext,26.1218,41.35112,327,269,10,1394.51,1200
General,Int,26.12214,41.35116,263.5,184.5,12,1406.98,1210
General,Ext,26.12238,41.35117,285,277,20,1406.99,1210
General,Ext,26.12255,41.35119,296.5,81.5,9,1424.49,1230
General,Ext,26.12275,41.35123,65.5,58.5,16,1424.7,1240
General,Ext,26.12284,41.35124,90,90,10,1536.9,1320
General,Ext,26.12272,41.35122,83.5,26.5,11,1561.77,1340
General,Ext,26.12271,41.35122,318.5,258.5,6,1574.29,1350
General,Ext,26.12277,41.35124,103,97,14,1598.01,1370
General,Ext,26.12297,41.35124,50.5,45.5,19,1598.03,1370
General,Ext,26.12308,41.35125,353,173,20,1610.52,1380
General,Ext,26.1237,41.3513,304,261,20,1623.04,1390
General,Ext,26.1239,41.35132,44.5,37.5,8,1623.05,1390
Pitting,Ext,26.12449,41.35137,36,29,12,1648.03,1410
General,Ext,26.1241,41.35134,354,346,5,1648.03,1410
General,Ext,26.12421,41.35134,71.5,66.5,8,1648.04,1410
Circumferential Grooving,Ext,26.12477,41.35142,305.5,259.5,14,1660.51,1420
Pitting,Ext,26.12481,41.35142,326.5,323.5,15,2114.56,1790
Pitting,Int,26.12457,41.35137,276,272,12,2235.86,1890
Pitting,Int,26.12465,41.35138,300,296,11,2456.42,2070
Pitting,Int,26.12473,41.35141,273.5,266.5,10,2456.66,2070
Pitting,Int,26.12488,41.35142,247.5,244.5,7,2482.53,2090
Pitting,Ext,26.12485,41.35142,266,263,6,2553.83,2150
Circumferential Grooving,Ext,26.1168,41.35085,230,192,9,2553.84,2150
General,Ext,26.11638,41.35083,250,163,5,2566.35,2160
General,Ext,26.1166,41.35084,290,281,16,2641.37,2220
General,Int,26.11721,41.35085,197,188,16,2725.77,2290
General,Int,26.11698,41.35085,281,273,7,2725.84,2290
General,Ext,26.1175,41.35085,60,359,10,2726.18,2290
Pitting,Int,26.11775,41.35084,252.5,248.5,16,2747.16,2310
Pitting,Int,26.11798,41.35084,313,309,16,2999.05,2520
General,Ext,26.11843,41.35085,109.5,104.5,10,3007.25,2520
General,Ext,26.11887,41.35086,232.5,227.5,15,3008.33,2520
Pitting,Ext,26.11914,41.35086,46.5,41.5,15,3008.42,2520
General,Int,26.11934,41.35087,337.5,295.5,5,3358.33,2810
General,Int,26.11951,41.35089,284.5,241.5,15,3375.91,2820
General,Int,26.11974,41.35089,336.5,283.5,14,3378.64,2820
Pitting,Int,26.12017,41.35091,272.5,267.5,10,3382.65,2830
Pitting,Int,26.12016,41.35091,298.5,294.5,6,3387.19,2830
Pitting,Ext,26.12001,41.35089,223.5,218.5,17,3394.31,2840
General,Int,26.12012,41.3509,160,155,6,3394.62,2840
General,Int,26.12028,41.35092,331,289,17,3407.73,2850
General,Int,26.12058,41.35093,334.5,294.5,15,3421.98,2860
